Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 31, 2023",71.17,80.44,70.70,79.34,79.34,"170,186,600"
"Sep 30, 2023",81.10,81.47,69.42,70.82,69.96,"226,398,900"
"Aug 31, 2023",86.00,89.47,81.03,81.67,80.68,"139,369,400"
"Jul 31, 2023",91.20,91.43,82.74,85.15,84.12,"131,151,700"
"Jun 30, 2023",86.34,95.57,82.90,91.56,89.63,"167,976,500"
"May 31, 2023",82.58,89.65,81.47,85.40,83.60,"150,773,700"
"Apr 30, 2023",90.19,90.52,80.74,81.76,80.03,"150,610,500"
"Mar 31, 2023",87.95,91.82,83.20,89.97,87.31,"129,524,200"
"Mar 01, 2023",95.96,99.20,81.72,87.80,85.21,"205,262,500"
"Feb 01, 2023",96.95,100.99,96.26,96.50,93.65,"121,182,800"
"Jan 01, 2023",85.64,99.10,84.83,97.33,93.70,"168,742,800"
"Dec 01, 2022",93.06,95.16,84.06,85.02,81.85,"145,897,300"
"Oct 31, 2022",83.25,93.25,82.55,93.07,89.60,"131,117,900"
"Sep 30, 2022",80.05,84.74,74.67,82.17,78.35,"171,004,200"
"Aug 31, 2022",84.67,91.04,78.35,79.01,75.33,"182,851,600"
"Jul 31, 2022",83.66,92.29,82.96,85.22,81.25,"152,454,100"
"Jun 30, 2022",75.76,84.63,72.05,84.30,79.62,"158,809,800"
"May 31, 2022",86.44,86.78,72.23,76.06,71.84,"174,764,800"
"Apr 30, 2022",80.59,87.53,76.75,86.14,81.36,"172,431,500"
"Mar 31, 2022",88.14,92.93,80.31,80.59,75.47,"198,285,900"
"Mar 01, 2022",90.00,94.91,81.97,87.40,81.85,"252,309,900"
"Feb 01, 2022",102.96,109.73,88.53,90.74,84.97,"202,668,300"
"Jan 01, 2022",99.33,106.47,92.94,102.54,95.36,"270,010,600"
"Dec 01, 2021",96.98,103.16,94.21,98.16,91.29,"190,257,900"
"Oct 31, 2021",103.89,105.34,93.88,94.82,88.18,"194,505,600"
"Sep 30, 2021",97.93,103.98,96.68,102.78,94.93,"166,932,900"
"Aug 31, 2021",104.54,105.95,96.25,97.31,89.87,"179,459,900"
"Jul 31, 2021",96.72,105.81,94.83,104.43,96.45,"159,635,800"
"Jun 30, 2021",91.92,97.21,86.95,95.98,88.00,"212,957,600"
"May 31, 2021",92.39,94.27,83.91,91.69,84.07,"206,019,300"
"Apr 30, 2021",83.11,91.35,80.75,90.95,83.39,"194,945,100"
"Mar 31, 2021",77.88,83.79,76.25,82.55,75.37,"229,848,400"
"Mar 01, 2021",78.05,86.64,76.00,77.66,70.90,"261,530,600"
"Feb 01, 2021",67.88,81.40,67.27,76.87,70.18,"199,074,900"
"Jan 01, 2021",69.28,77.76,66.85,67.05,60.90,"259,863,800"
"Dec 01, 2020",63.12,68.97,61.86,68.53,62.25,"204,083,600"
"Oct 31, 2020",48.88,63.96,48.44,61.83,56.16,"248,046,900"
"Sep 30, 2020",48.75,52.61,46.42,48.15,43.41,"354,504,500"
"Aug 31, 2020",51.92,54.38,45.86,48.35,43.59,"202,181,800"
"Jul 31, 2020",49.22,53.42,48.72,52.26,47.12,"152,782,700"
"Jun 30, 2020",48.41,53.51,47.02,48.88,43.77,"265,671,300"
"May 31, 2020",44.52,51.85,43.95,48.30,43.25,"296,685,200"
"Apr 30, 2020",38.35,47.32,35.53,44.20,39.58,"252,538,800"
"Mar 31, 2020",31.68,41.85,31.16,39.43,35.00,"346,491,200"
"Mar 01, 2020",45.11,46.92,27.20,34.00,30.18,"581,476,100"
"Feb 01, 2020",52.64,56.66,43.69,45.03,39.97,"311,578,100"
"Jan 01, 2020",51.20,57.57,50.46,52.26,46.08,"226,791,900"
"Dec 01, 2019",49.58,51.44,47.44,51.12,45.08,"176,409,500"
"Oct 31, 2019",46.52,49.98,46.46,49.48,43.63,"171,875,200"
"Sep 30, 2019",42.51,47.16,39.30,46.05,40.30,"231,980,600"
"Aug 31, 2019",41.04,45.45,40.35,42.67,37.34,"187,281,000"
"Jul 31, 2019",44.42,44.74,38.76,41.49,36.31,"245,335,100"
"Jun 30, 2019",44.59,45.77,43.02,44.56,38.70,"182,721,700"
"May 31, 2019",40.71,44.57,40.43,43.81,38.05,"185,025,300"
"Apr 30, 2019",48.20,48.62,40.60,40.69,35.34,"210,434,200"
"Mar 31, 2019",42.78,48.67,42.75,48.25,41.64,"242,779,700"
"Mar 01, 2019",42.35,44.89,40.40,42.20,36.42,"250,727,700"
"Feb 01, 2019",42.30,42.86,40.12,41.98,36.23,"210,778,100"
"Jan 01, 2019",39.02,45.11,38.76,42.30,36.25,"314,950,600"
"Dec 01, 2018",45.07,46.14,36.74,39.65,33.98,"307,651,600"
"Oct 31, 2018",45.82,46.95,42.54,44.39,38.04,"223,855,400"
"Sep 30, 2018",46.92,47.93,42.88,45.66,38.86,"313,771,700"
"Aug 31, 2018",48.86,50.37,46.40,46.57,39.63,"172,174,900"
"Jul 31, 2018",50.94,51.18,47.02,48.83,41.56,"188,261,600"
"Jun 30, 2018",46.96,51.53,46.28,50.56,42.78,"187,428,300"
"May 31, 2018",50.93,52.72,47.11,47.40,40.10,"208,034,500"
"Apr 30, 2018",51.39,55.64,49.51,50.14,42.42,"196,363,000"
"Mar 31, 2018",53.83,55.39,51.58,51.62,43.46,"222,555,100"
"Mar 01, 2018",55.89,59.38,51.97,53.96,45.43,"204,954,800"
"Feb 01, 2018",56.50,57.82,50.02,56.02,47.17,"193,827,500"
"Jan 01, 2018",52.76,58.05,51.92,56.55,47.41,"197,035,500"
"Dec 01, 2017",51.88,54.25,50.72,52.47,43.99,"156,160,300"
"Oct 31, 2017",50.22,52.58,47.42,51.61,43.27,"142,338,300"
"Sep 30, 2017",48.11,51.52,47.70,50.00,41.71,"181,652,600"
"Aug 31, 2017",45.59,48.49,43.84,48.17,40.18,"157,535,900"
